iter	Passed	Remaining
0	5	1699
1	10	1595
2	16	1597
3	21	1619
4	27	1614
5	32	1604
6	38	1605
7	44	1607
8	49	1602
9	55	1614
10	61	1613
11	68	1636
12	75	1660
13	82	1682
14	89	1699
15	96	1710
16	103	1722
17	110	1729
18	117	1736
19	124	1740
20	131	1746
21	138	1755
22	146	1761
23	153	1763
24	160	1769
25	169	1784
26	177	1794
27	185	1797
28	191	1794
29	199	1798
30	207	1802
31	215	1802
32	222	1801
33	229	1796
34	236	1791
35	244	1794
36	253	1800
37	261	1806
38	269	1806
39	276	1795
40	282	1784
41	288	1770
42	294	1759
43	300	1748
44	306	1736
45	312	1726
46	318	1717
47	325	1710
48	332	1702
49	338	1693
50	345	1685
51	351	1676
52	358	1668
53	364	1661
54	371	1654
55	378	1647
56	384	1639
57	391	1633
58	398	1626
59	405	1620
60	411	1612
61	418	1605
62	425	1600
63	432	1594
64	439	1589
65	446	1581
66	452	1575
67	459	1568
68	466	1562
69	473	1556
70	480	1550
71	487	1544
72	494	1538
73	502	1533
74	509	1527
75	517	1525
76	525	1521
77	533	1519
78	541	1514
79	547	1506
80	553	1497
81	559	1488
82	566	1480
83	572	1471
84	578	1463
85	585	1456
86	591	1447
87	597	1440
88	604	1432
89	610	1424
90	616	1417
91	623	1409
92	630	1402
93	636	1395
94	643	1389
95	650	1382
96	659	1379
97	667	1375
98	674	1369
99	681	1363
100	688	1356
101	696	1352
102	707	1352
103	716	1349
104	725	1346
105	734	1344
106	741	1338
107	768	1367
108	785	1375
109	800	1382
110	822	1401
111	850	1427
112	892	1476
113	899	1466
114	905	1457
115	913	1448
116	920	1439
117	927	1430
118	934	1421
119	941	1411
120	948	1402
121	955	1393
122	962	1384
123	970	1377
124	978	1370
125	985	1361
126	993	1352
127	999	1343
128	1007	1335
129	1017	1330
130	1026	1324
131	1034	1316
132	1042	1308
133	1049	1300
134	1057	1291
135	1064	1284
136	1073	1277
137	1081	1269
138	1088	1261
139	1096	1252
140	1103	1244
141	1110	1235
142	1117	1227
143	1125	1219
144	1134	1212
145	1141	1204
146	1149	1196
147	1157	1189
148	1165	1181
149	1172	1172
150	1181	1165
151	1188	1157
152	1195	1148
153	1203	1140
154	1210	1132
155	1218	1124
156	1225	1116
157	1232	1107
158	1240	1099
159	1247	1091
160	1255	1083
161	1262	1075
162	1270	1067
163	1278	1060
164	1285	1051
165	1293	1044
166	1301	1036
167	1310	1029
168	1317	1021
169	1324	1013
170	1333	1005
171	1340	997
172	1347	989
173	1354	980
174	1361	972
175	1369	964
176	1377	956
177	1384	948
178	1391	940
179	1399	932
180	1406	924
181	1414	917
182	1422	909
183	1429	901
184	1436	893
185	1444	885
186	1451	877
187	1459	869
188	1466	861
189	1473	853
190	1481	845
191	1488	837
192	1496	829
193	1503	821
194	1511	813
195	1519	806
196	1527	798
197	1536	791
198	1545	784
199	1554	777
200	1563	770
201	1572	762
202	1580	755
203	1587	747
204	1595	739
205	1602	731
206	1610	723
207	1617	715
208	1624	707
209	1631	699
210	1638	690
211	1645	682
212	1652	674
213	1659	666
214	1666	658
215	1672	650
216	1679	642
217	1686	634
218	1693	626
219	1701	618
220	1709	611
221	1716	603
222	1723	595
223	1730	587
224	1738	579
225	1746	571
226	1753	563
227	1761	556
228	1769	548
229	1777	540
230	1785	533
231	1793	525
232	1800	517
233	1808	509
234	1815	502
235	1821	493
236	1829	486
237	1836	478
238	1843	470
239	1850	462
240	1858	454
241	1865	447
242	1872	439
243	1879	431
244	1886	423
245	1892	415
246	1899	407
247	1906	399
248	1913	391
249	1920	384
250	1927	376
251	1935	368
252	1943	360
253	1950	353
254	1958	345
255	1965	337
256	1973	330
257	1981	322
258	1987	314
259	1994	306
260	2001	299
261	2008	291
262	2015	283
263	2022	275
264	2029	268
265	2036	260
266	2043	252
267	2051	244
268	2057	237
269	2066	229
270	2074	221
271	2081	214
272	2087	206
273	2094	198
274	2101	191
275	2108	183
276	2114	175
277	2121	167
278	2128	160
279	2134	152
280	2141	144
281	2148	137
282	2154	129
283	2161	121
284	2167	114
285	2174	106
286	2181	98
287	2187	91
288	2193	83
289	2200	75
290	2207	68
291	2213	60
292	2220	53
293	2227	45
294	2234	37
295	2241	30
296	2248	22
297	2254	15
298	2260	7
299	2267	0
