iter	MultiClass
0	1.063214427
1	1.031741507
2	1.004232349
3	0.9792518733
4	0.9547081122
5	0.9338907492
6	0.9151522844
7	0.8973965294
8	0.8799856509
9	0.8650622765
10	0.8518169934
11	0.8391689112
12	0.8278743379
13	0.8173451153
14	0.8066791993
15	0.7970388549
16	0.7888159514
17	0.7805706875
18	0.7731519829
19	0.7662116885
20	0.7595820704
21	0.7536937204
22	0.7476764178
23	0.7421999268
24	0.7365471363
25	0.7317922265
26	0.7264774156
27	0.7226131629
28	0.7188233276
29	0.7147680359
30	0.7112733031
31	0.7074032357
32	0.7040019628
33	0.7004484901
34	0.6968117603
35	0.693944448
36	0.6910083688
37	0.6887215116
38	0.6863666061
39	0.684462398
40	0.6820224332
41	0.6801004195
42	0.6780514213
43	0.6765493003
44	0.6741636334
45	0.6724355662
46	0.6704823992
47	0.6685260914
48	0.6664403146
49	0.6648532485
50	0.6633796039
51	0.66186838
52	0.660347732
53	0.6591150218
54	0.658034383
55	0.6565501963
56	0.6550930106
57	0.6541751378
58	0.6533292132
59	0.652312861
60	0.6516075019
61	0.6508175258
62	0.6498410583
63	0.6491023861
64	0.6484585412
65	0.6469948872
66	0.6456584036
67	0.6446457107
68	0.6439588352
69	0.6427758498
70	0.6421622086
71	0.6413038118
72	0.640398557
73	0.6400509406
74	0.6394553186
75	0.6389891583
76	0.6383408025
77	0.6376365557
78	0.6370857123
79	0.6364040254
80	0.6355480581
81	0.6347401665
82	0.6341038411
83	0.6332459586
84	0.6323618776
85	0.6317152653
86	0.6311206356
87	0.6303924055
88	0.6298999046
89	0.6293374875
90	0.6285602129
91	0.6279580225
92	0.6273640258
93	0.6268929081
94	0.6265626667
95	0.6259294967
96	0.625317632
97	0.6247949965
98	0.6244300509
99	0.6239834773
100	0.6234211706
101	0.6231785105
102	0.6227316247
103	0.6219414434
104	0.6213993484
105	0.6209641439
106	0.6204002929
107	0.6195667873
108	0.6192256235
109	0.6185807205
110	0.6178416782
111	0.617268061
112	0.6168375196
113	0.6162672558
114	0.6158397981
115	0.6156191052
116	0.6153319771
117	0.6147630583
118	0.6143208827
119	0.6137503678
120	0.6133212378
121	0.6125738246
122	0.6122742376
123	0.6116737722
124	0.6114188577
125	0.610986421
126	0.6104393543
127	0.6101789388
128	0.609989122
129	0.6095978627
130	0.6092604417
131	0.6090541553
132	0.6086745813
133	0.6082491372
134	0.6078646056
135	0.6076543147
136	0.6073712746
137	0.6070580973
138	0.6068452142
139	0.6061936527
140	0.6060477672
141	0.6055875564
142	0.6053307216
143	0.6050079181
144	0.6046369335
145	0.6042893877
146	0.6037854321
147	0.6034075685
148	0.6028168793
149	0.6025676911
150	0.602157916
151	0.6019811089
152	0.6017693247
153	0.6014305209
154	0.6011738138
155	0.6008728774
156	0.6004966673
157	0.6002781558
158	0.6000696051
159	0.5995397343
160	0.5993224421
161	0.5990313814
162	0.5985310636
163	0.5982934159
164	0.5980319057
165	0.5976806862
166	0.5972878489
167	0.5970353437
168	0.5968237279
169	0.5965306605
170	0.5962783402
171	0.5959371873
172	0.595529194
173	0.5952611466
174	0.5949537495
175	0.5948079256
176	0.5944504045
177	0.5938560243
178	0.5936724502
179	0.5931531923
180	0.592791954
181	0.5924644825
182	0.5919634618
183	0.5914226523
184	0.5912218438
185	0.5909352711
186	0.5905770625
187	0.5900900932
188	0.5895381267
189	0.589286128
190	0.5888850381
191	0.5884617913
192	0.5882608928
193	0.5878258855
194	0.5873884653
195	0.5869666343
196	0.5867431198
197	0.586490767
198	0.5862801515
199	0.5859357425
200	0.5857198032
201	0.5854333281
202	0.5851825571
203	0.5849932751
204	0.5848457518
205	0.5845183902
206	0.5841719763
207	0.5837505795
208	0.583234337
209	0.5828972715
210	0.5824428028
211	0.5820331792
212	0.5818317956
213	0.5814969369
214	0.581255694
215	0.5808671266
216	0.5804301343
217	0.5800852915
218	0.5798296518
219	0.5795951098
220	0.579248245
221	0.5788843665
222	0.5786018988
223	0.5782665206
224	0.5777481517
225	0.5774542242
226	0.5770943642
227	0.5766875218
228	0.5762884668
229	0.5760585263
230	0.5757263969
231	0.5754818011
232	0.5750877737
233	0.5746626238
234	0.5745170679
235	0.5742079749
236	0.5738286857
237	0.5733862796
238	0.5729664252
239	0.5724595199
240	0.5720500312
241	0.5716502199
242	0.5713586412
243	0.5709147053
244	0.5704627096
245	0.5701105156
246	0.5699022914
247	0.5696555766
248	0.5693387412
249	0.5691542556
250	0.5688331232
251	0.5685996215
252	0.5684386213
253	0.5681755235
254	0.5679101331
255	0.5676401481
256	0.5673911579
257	0.5669722711
258	0.5666103626
259	0.5663021033
260	0.56598799
261	0.5656075125
262	0.5653990679
263	0.5651862634
264	0.5649570838
265	0.564717056
266	0.5645905597
267	0.5641646699
268	0.5638981422
269	0.5635784928
270	0.5633819606
271	0.5630797394
272	0.5627288217
273	0.5624650475
274	0.5622893918
275	0.5619568168
276	0.5615259739
277	0.5611364756
278	0.5608738272
279	0.5604015618
280	0.5600126862
281	0.5597994069
282	0.5594990876
283	0.5592227584
284	0.5591263888
285	0.5587645586
286	0.5586241427
287	0.5582728448
288	0.5581632623
289	0.5580387164
290	0.5578378707
291	0.5576666079
292	0.5573673575
293	0.5571056336
294	0.5567329713
295	0.5564342065
296	0.5562010955
297	0.5559095161
298	0.5554731329
299	0.5552021026
