iter	Passed	Remaining
0	4	1243
1	8	1199
2	12	1196
3	15	1175
4	19	1161
5	23	1149
6	27	1147
7	31	1140
8	35	1132
9	38	1127
10	42	1128
11	47	1134
12	51	1131
13	55	1131
14	59	1125
15	63	1127
16	67	1127
17	71	1123
18	76	1124
19	80	1121
20	84	1120
21	88	1123
22	93	1122
23	97	1123
24	101	1119
25	106	1117
26	110	1115
27	115	1117
28	119	1118
29	124	1119
30	128	1117
31	133	1117
32	138	1117
33	142	1118
34	147	1119
35	152	1120
36	158	1125
37	164	1131
38	169	1132
39	173	1129
40	178	1125
41	182	1122
42	187	1122
43	192	1120
44	197	1118
45	202	1118
46	207	1117
47	212	1118
48	217	1116
49	222	1112
50	227	1108
51	231	1105
52	236	1101
53	240	1096
54	245	1093
55	250	1092
56	254	1086
57	259	1081
58	263	1077
59	267	1071
60	271	1064
61	275	1058
62	279	1052
63	283	1046
64	288	1042
65	292	1037
66	297	1034
67	301	1029
68	306	1025
69	311	1024
70	317	1022
71	321	1019
72	327	1017
73	331	1013
74	336	1010
75	341	1006
76	345	1001
77	350	997
78	355	993
79	359	988
80	364	984
81	368	980
82	373	976
83	378	972
84	382	968
85	387	964
86	392	960
87	397	957
88	402	953
89	407	950
90	411	945
91	416	940
92	420	936
93	425	931
94	429	926
95	434	923
96	439	920
97	443	914
98	448	910
99	453	906
100	457	901
101	462	896
102	466	891
103	471	888
104	476	885
105	481	881
106	486	877
107	491	873
108	495	869
109	500	863
110	504	858
111	508	853
112	512	848
113	516	843
114	521	838
115	525	833
116	529	827
117	533	822
118	537	817
119	541	812
120	545	807
121	550	802
122	554	798
123	559	793
124	563	789
125	568	784
126	572	779
127	576	774
128	580	769
129	584	764
130	588	759
131	592	754
132	596	749
133	600	743
134	604	738
135	608	733
136	612	728
137	615	723
138	619	717
139	623	712
140	627	707
141	630	702
142	634	696
143	638	691
144	642	686
145	646	681
146	649	676
147	653	671
148	657	666
149	661	661
150	665	656
151	669	651
152	672	646
153	676	641
154	680	636
155	684	631
156	688	626
157	691	621
158	696	617
159	700	612
160	703	607
161	707	603
162	711	598
163	715	593
164	719	588
165	723	584
166	727	579
167	731	574
168	735	570
169	739	565
170	743	560
171	747	556
172	751	551
173	755	546
174	759	542
175	763	537
176	767	533
177	771	528
178	774	523
179	778	519
180	783	514
181	788	510
182	793	507
183	797	503
184	802	498
185	806	494
186	811	490
187	816	486
188	820	482
189	824	477
190	828	472
191	832	468
192	835	463
193	839	458
194	843	454
195	847	449
196	851	444
197	855	440
198	859	436
199	863	431
200	867	427
201	871	422
202	875	418
203	878	413
204	882	408
205	886	404
206	890	399
207	894	395
208	898	391
209	902	386
210	905	382
211	909	377
212	914	373
213	918	368
214	922	364
215	926	360
216	930	355
217	934	351
218	937	346
219	941	342
220	945	338
221	949	333
222	953	329
223	956	324
224	960	320
225	964	315
226	968	311
227	972	307
228	976	302
229	980	298
230	984	294
231	988	289
232	992	285
233	996	281
234	1000	276
235	1004	272
236	1008	268
237	1012	263
238	1016	259
239	1020	255
240	1024	250
241	1027	246
242	1031	242
243	1036	237
244	1040	233
245	1044	229
246	1048	225
247	1052	220
248	1056	216
249	1060	212
250	1064	207
251	1068	203
252	1072	199
253	1076	194
254	1080	190
255	1084	186
256	1088	182
257	1091	177
258	1095	173
259	1099	169
260	1103	164
261	1107	160
262	1111	156
263	1115	152
264	1118	147
265	1123	143
266	1127	139
267	1130	135
268	1134	130
269	1138	126
270	1142	122
271	1146	118
272	1150	113
273	1154	109
274	1158	105
275	1162	101
276	1166	96
277	1170	92
278	1174	88
279	1178	84
280	1182	79
281	1186	75
282	1190	71
283	1193	67
284	1197	63
285	1201	58
286	1205	54
287	1209	50
288	1213	46
289	1217	41
290	1221	37
291	1225	33
292	1229	29
293	1232	25
294	1236	20
295	1240	16
296	1245	12
297	1249	8
298	1253	4
299	1257	0
