INFLUENCER_ID,NAME,ACCOUNTNAME,INSTAGRAM_USER_ID,INSTAGRAM_TOTAL_LIKES,INSTAGRAM_TOTAL_COMMENTS,INSTAGRAM_TOTAL_POSTS,INSTAGRAM_POSTS_LAST_30_DAYS,INSTAGRAM_POSTS_LAST_90_DAYS,INSTAGRAM_POSTS_LAST_180_DAYS,INSTAGRAM_POSTS_IN_LAST_1_YEAR,INSTAGRAM_TOTAL_ENGAGEMENT,INSTAGRAM_FOLLOWER_COUNT,INSTAGRAM_ENGAGEMENT_RATE
612318,Kelsey Dean,Just Ingredients,7594232839,1295,243,42,0,1,8,16,1538,635,2.422
228119,Madison Syx,Olive and June,40983925105,7951,557,149,0,0,2,27,8508,662,12.852
235387,Giorgianna Goudas,Inssada,258637035,84777,15185,263,8,28,54,99,99962,6487,15.4096
624114,Tyrianna Holloman,Babe Original,2126275264,2826,334,24,0,0,0,1,3160,1408,2.2443
640226,ciara wholaver,Just Ingredients,2255790377,478,9,55,10,21,45,55,487,1211,0.4021
635190,Iryna Maksymiv,Babe Original,59422273507,48,9,9,0,0,0,5,57,33,1.7273
645502,JorJa Ploederl,Just Ingredients,1758916726,1464,26,25,0,0,3,9,1490,406,3.67
615765,Annie Hua,Andar,197778164,4084,315,32,0,0,0,8,4399,1930,2.2793
615851,Lori Littleton,Andar,185778460,36817,3837,64,0,0,7,33,40654,80527,0.5048
615935,Taylor Allen,Bio Bidet,189032380,78155,4933,335,11,47,106,237,83088,28417,2.9239
624825,Lissette Lugo,Babe Original,18934098,1793,161,25,0,0,0,6,1954,940,2.0787
618789,Alexis Stanton,Andar,11079994980,2705,421,49,0,0,0,21,3126,1098,2.847
592903,Clemmie Moen,Lightning In A Bottle (Demo),1596373398,479327,43404,940,44,111,229,471,522731,58688,8.9069
645837,Cambree Blackham,Wellah,2764516446,2970,463,14,0,0,2,9,3433,999,3.4364
630703,Vanessa Fleming,Olive and June,18504196697,193772,5398,96,11,22,54,96,199170,82948,2.4011
612946,Samai Mejia,Andar,10450044544,601,38,49,0,0,0,3,639,240,2.6625
559673,Amber Morrow,Sheertex,274388811,15930,2832,108,0,0,0,2,18762,2495,7.5198
561125,Farah Elawamry,DIME Beauty,5910915082,13745,730,52,0,0,0,1,14475,50806,0.2849
561347,Patience Canning,Vessi CA,53527891753,1077,691,52,0,1,1,11,1768,1756,1.0068
563297,Mariela Camacho,Steve Madden,1417790954,67670,4277,914,34,106,256,526,71947,2826,25.459
638713,Chamberlain Collier,Olive and June,196169728,0,387,25,0,0,10,25,387,1078,0.359
259873,Hillary Ceja,Mixhers,42780787192,3625,322,184,1,4,14,25,3947,515,7.6641
553625,Jake Truss,Zimba,520100835,569,41,7,1,2,2,2,610,982,0.6212
594095,Amber Higgins,Uproot Clean,52177198286,1711605,16858,354,5,34,85,210,1728463,43816,39.4482
547390,Hope Robertson,DIME Beauty,12805922,47293,1612,201,9,22,51,113,48905,2158,22.6622
624168,Kristie Fernandez,Babe Original,3628465889,12602,1233,36,0,4,7,14,13835,3087,4.4817
625174,Larissa Ells,Mixhers,3163311739,826,104,16,0,0,0,7,930,617,1.5073
200861,Pada Thao,FabFitFun,22413303,35275,287,45,0,1,2,3,35562,14095,2.523
633427,Brittany Henry,Just Ingredients,298898481,396,13,25,0,0,0,20,409,439,0.9317
609236,Johannah Campos,Ridge,49539697346,46520,3759,108,4,16,36,62,50279,10049,5.0034
610441,Julia Pridmore,Uproot Clean,46149429793,3417,271,58,0,4,5,21,3688,2662,1.3854
610574,Vanessa Kahen,Botanic Tonics,228504777,8928,286,107,7,19,47,63,9214,2557,3.6034
642280,Jennifer Pederson,Just Ingredients,219850652,1970,154,28,1,2,4,5,2124,14436,0.1471
613822,Hailey Smith,Just Ingredients,1517595783,1963372,9517,223,15,52,96,177,1972889,388420,5.0793
623576,Jenesee Lewis,Geometry,63518954535,9342,1701,149,2,24,65,143,11043,2129,5.1869
570897,Annagray Petree,Felix Gray,42631718,37150,2246,94,0,0,0,5,39396,10206,3.8601
581914,Karilyn Lizbeth Guzman Rodriguez,Nutricost,17546019147,48479,1895,149,13,28,32,64,50374,12162,4.1419
583113,Shen Perkins,Bio Bidet,1789035371,412,362,103,0,0,0,12,774,1804,0.429
245272,Makayla Hughbanks,Babe Original,1948515842,335501,25905,459,10,45,90,164,361406,74705,4.8378
251670,Kayle Riccobono,Babe Original,1135146,4045,1485,119,9,16,25,39,5530,20234,0.2733
258713,Ariel Chamberlain,Hum,8698647695,4579,928,72,1,2,10,22,5507,3719,1.4808
